Optimization Level, Run Number, Cycles, Instructions, Clock Speed (GHz), Branch Misses, Execution time(s)
1, 1, 1157752515, 973310705, 1.106, 3957534, 1.052190133
1, 2, 1155900570, 973310585, 1.161, 3959078, 0.998589576
1, 3, 1172572906, 973310626, 1.162, 3960274, 1.012336993
1, 4, 1155629427, 973310645, 1.162, 3957456, 0.997827964
1, 5, 1156713662, 973310853, 1.105, 3958257, 1.054886377
2, 1, 1082491866, 873697975, 1.100, 3957856, 0.989554805
2, 2, 1083549958, 873697876, 1.159, 3957623, 0.938293045
2, 3, 1100904633, 873697673, 1.160, 3957924, 0.952159942
2, 4, 1083186047, 873697638, 1.159, 3957444, 0.938157785
2, 5, 1098722094, 873697695, 1.160, 3960453, 0.950458122
4, 1, 1036668804, 835701403, 1.148, 3981627, 0.911096023
4, 2, 1038437380, 835686726, 1.158, 3960093, 0.900075788
4, 3, 1038248772, 835686942, 1.158, 3957488, 0.899688705
4, 4, 1039558319, 835686849, 1.158, 3957477, 0.905002234
4, 5, 1059409556, 835701381, 1.154, 3968039, 0.921584281
8, 1, 1030533210, 819644784, 1.148, 3981500, 0.903255312
8, 2, 1016570999, 819630588, 1.157, 3957198, 0.882028693
8, 3, 1015843158, 819630584, 1.157, 3957371, 0.880965466
8, 4, 1020817000, 819644720, 1.153, 3967954, 0.888879927
8, 5, 1020681710, 819644564, 1.153, 3967711, 0.888177325
