Optimization Level, Run Number, Cycles, Instructions, Clock Speed (GHz), Branch Misses, Execution time(s)
0, 1, 1160639909, 973328043, 1.102, 3968894, 1.060086260
0, 2, 1159010858, 973327826, 1.143, 3986043, 1.023985977
0, 3, 1153828514, 973317372, 1.100, 3966682, 1.055280750
0, 4, 1160705829, 973327201, 1.157, 3968638, 1.006978984
0, 5, 1176877827, 973327284, 1.157, 3968788, 1.020666193
1, 1, 1161457505, 973326930, 1.157, 3968615, 1.009570019
1, 2, 1155744380, 973310580, 1.162, 3957211, 0.998102963
1, 3, 1197315625, 973327742, 1.156, 3969403, 1.039951254
1, 4, 1170660241, 973327403, 1.150, 3984363, 1.029232163
1, 5, 1160732577, 973326963, 1.157, 3967754, 1.006400808
2, 1, 1155962704, 973310594, 1.162, 3957287, 0.999550355
2, 2, 1155960826, 973310690, 1.162, 3957037, 0.998723117
2, 3, 1205037626, 973310479, 1.161, 3957860, 1.041864687
2, 4, 1163439132, 973310758, 1.162, 3957206, 1.037600425
2, 5, 1160881470, 973327250, 1.157, 3968386, 1.006416746
3, 1, 1161174806, 973327870, 1.102, 3969193, 1.059137304
3, 2, 1156007916, 973310656, 1.162, 3957131, 0.998394733
3, 3, 1171237291, 973310843, 1.163, 3957508, 1.010783142
3, 4, 1155927188, 973310867, 1.162, 3957287, 0.998357024
3, 5, 1176045216, 973326907, 1.158, 3968286, 1.019422341
